[2013/1/11 - 19:48:45] [DEBUG] What_Up (113.172.35.110) VIP removed (VIP Expire: 1357901610 | Level: 3)
[2013/1/18 - 10:18:28] [DEBUG] Tam_Smith (113.176.156.242) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/18 - 10:31:8] [DEBUG] Tam_Smith (113.176.156.242) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/18 - 10:37:29] [DEBUG] Tam_Smith (113.176.156.242) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/18 - 18:39:5] [DEBUG] Tam_Smith (113.176.156.242) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/19 - 8:41:5] [DEBUG] Tam_Smith (113.176.156.122) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/19 - 8:41:50] [DEBUG] Tam_Smith (113.176.156.122) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/19 - 8:48:2] [DEBUG] Tam_Smith (113.176.156.122) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/19 - 18:29:58] [DEBUG] Tam_Smith (113.176.156.122) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/19 - 18:32:57] [DEBUG] Tam_Smith (113.176.156.122) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/19 - 19:32:6] [DEBUG] Tam_Smith (113.176.156.122) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/19 - 19:33:16] [DEBUG] Tam_Smith (113.176.156.122) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/20 - 9:59:36] [DEBUG] Tam_Smith (113.176.156.182) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/20 - 10:44:43] [DEBUG] Tam_Smith (113.176.156.182) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/20 - 12:33:17] [DEBUG] Tam_Smith (113.176.157.35) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/20 - 14:3:54] [DEBUG] Tam_Smith (113.176.157.35) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/20 - 18:20:7] [DEBUG] Tam_Smith (113.176.157.35) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/20 - 19:32:42] [DEBUG] Tam_Smith (113.176.157.35) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/21 - 8:34:51] [DEBUG] Tam_Smith (113.176.156.154) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/21 - 9:3:32] [DEBUG] Tam_Smith (113.176.156.154) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/21 - 9:11:53] [DEBUG] Tam_Smith (113.176.156.154) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/21 - 10:14:55] [DEBUG] Tam_Smith (113.176.156.154) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/21 - 13:58:53] [DEBUG] Ed_Sheeran (117.5.247.22) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/1/21 - 18:5:15] [DEBUG] Tam_Smith (113.176.156.154) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/21 - 18:7:9] [DEBUG] Tam_Smith (113.176.156.154) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/22 - 8:56:42] [DEBUG] Tam_Smith (113.176.157.210) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/22 - 18:46:6] [DEBUG] Tam_Smith (113.176.157.210) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/23 - 8:13:40] [DEBUG] Tam_Smith (113.176.156.46) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/23 - 19:21:12] [DEBUG] Tam_Smith (113.176.156.46) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/24 - 9:40:41] [DEBUG] Tam_Smith (113.176.157.189) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/24 - 16:9:48] [DEBUG] Tam_Smith (113.176.157.236) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/24 - 19:15:55] [DEBUG] Tam_Smith (113.176.157.189) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/25 - 18:14:5] [DEBUG] Tam_Smith (113.176.157.109) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/25 - 18:18:20] [DEBUG] Tam_Smith (113.176.157.109) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/25 - 18:24:35] [DEBUG] Tam_Smith (113.176.157.109) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/26 - 10:7:6] [DEBUG] Tam_Smith (113.176.157.60) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/26 - 18:0:53] [DEBUG] Tam_Smith (113.176.157.60) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/26 - 18:52:45] [DEBUG] Tam_Smith (113.176.157.60) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/26 - 18:54:4] [DEBUG] Tam_Smith (113.176.157.60) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/26 - 18:59:48] [DEBUG] Tam_Smith (113.176.157.60) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/26 - 19:3:55] [DEBUG] Tam_Smith (113.176.157.60) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/1/26 - 19:37:21] [DEBUG] Tam_Smith (113.176.157.60) VIP removed (VIP Expire: 1358341532 | Level: 3)
[2013/2/4 - 18:25:18] [DEBUG] Thomas_Lee (117.5.244.72) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/2/4 - 18:54:17] [DEBUG] Thomas_Lee (117.5.244.72) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/2/4 - 19:0:20] [DEBUG] Thomas_Lee (117.5.244.72) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/2/5 - 11:20:23] [DEBUG] Thomas_Lee (117.5.186.221) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/2/5 - 11:54:59] [DEBUG] Sa_Lems (117.5.186.221) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/2/5 - 12:48:31] [DEBUG] Bobby_Smith (117.5.186.221) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/2/6 - 16:15:11] [DEBUG] Bobby_Smith (222.252.52.108) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/2/6 - 16:17:26] [DEBUG] Bobby_Smith (222.252.52.108) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/2/6 - 16:25:22] [DEBUG] Bobby_Smith (222.252.52.108) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/2/7 - 11:46:48] [DEBUG] bobby_Smith (117.5.182.48) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/2/7 - 12:26:5] [DEBUG] bobby_smith (117.5.182.48) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/2/7 - 12:31:20] [DEBUG] bobby_smith (117.5.182.48) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/2/7 - 12:57:56] [DEBUG] Bobby_Smith (113.176.156.202) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/2/7 - 13:17:1] [DEBUG] Bobby_Smith (117.5.182.48) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/2/7 - 14:4:41] [DEBUG] bobby_smith (117.5.182.48) VIP removed (VIP Expire: 1358742986 | Level: 3)
[2013/2/10 - 1:18:38] [DEBUG] Sub_Crazy (123.21.194.197) VIP removed (VIP Expire: 1360433399 | Level: 3)
[2013/2/10 - 2:55:31] [DEBUG] Sub_Crazy (123.21.194.197) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/10 - 13:20:30] [DEBUG] Sub_Crazy (123.20.232.58) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/10 - 14:11:15] [DEBUG] Sub_Crazy (123.20.232.58) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/10 - 14:18:15] [DEBUG] Fubuki_Pham (113.165.175.211) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/10 - 14:43:5] [DEBUG] Fubuki_Pham (113.165.175.211) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/10 - 15:11:34] [DEBUG] Fubuki_Pham (113.165.175.211) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/10 - 15:17:38] [DEBUG] Sub_Crazy (123.20.232.58) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/10 - 16:43:22] [DEBUG] Sub_Crazy (123.20.232.58) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/10 - 17:31:38] [DEBUG] Sub_Crazy (123.20.232.58) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/10 - 17:32:52] [DEBUG] Hieu_Ha (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/10 - 17:49:31] [DEBUG] Sub_Crazy (123.20.232.58) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/10 - 19:4:17] [DEBUG] Fubuki_Pham (113.165.175.211) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/10 - 20:11:8] [DEBUG] Hieu_Ha (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/10 - 20:54:39] [DEBUG] Fubuki_Pham (113.165.175.211) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/10 - 22:2:57] [DEBUG] Hieu_Ha (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/11 - 0:40:35] [DEBUG] Fubuki_Pham (113.165.175.211) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/11 - 3:20:5] [DEBUG] Sub_Crazy (123.20.231.171) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/11 - 3:40:22] [DEBUG] Sub_Crazy (123.20.231.171) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/11 - 3:48:33] [DEBUG] Sub_Crazy (123.20.231.171) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/11 - 8:2:22] [DEBUG] Kaidou_Smith (113.165.174.16) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/11 - 8:3:34] [DEBUG] Kaidou_Smith (113.165.174.16) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/11 - 10:20:36] [DEBUG] Kaidou_Smith (113.165.174.16) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/11 - 11:5:21] [DEBUG] Kaidou_Smith (113.165.174.16) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/11 - 13:7:51] [DEBUG] Hieu_Ha (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/11 - 13:53:40] [DEBUG] Hieu_Ha (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/11 - 14:7:35] [DEBUG] Sub_Crazy (123.21.190.81) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/11 - 15:4:3] [DEBUG] Sub_Crazy (123.21.193.55) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/11 - 15:56:51] [DEBUG] Hieu_Ha (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/11 - 16:0:7] [DEBUG] Hieu_Ha (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/11 - 16:23:58] [DEBUG] Hieu_Ha (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/11 - 16:24:31] [DEBUG] Kaidou_Smith (113.165.157.113) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/11 - 16:44:44] [DEBUG] Sub_Crazy (123.21.193.55) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/11 - 16:51:15] [DEBUG] Hieu_Ha (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/11 - 17:11:19] [DEBUG] Kaidou_Smith (113.165.157.113) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/11 - 17:20:34] [DEBUG] Kaidou_Smith (113.165.157.113) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/11 - 18:53:43] [DEBUG] Hieu_Ha (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/11 - 19:53:46] [DEBUG] Hieu_Ha (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/11 - 20:24:38] [DEBUG] Hieu_Ha (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/11 - 21:13:36] [DEBUG] Sub_Crazy (123.21.193.55) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/11 - 22:4:45] [DEBUG] Kaidou_Smith (113.165.157.113) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/12 - 0:12:30] [DEBUG] Sub_Crazy (123.21.193.55) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/12 - 0:41:29] [DEBUG] Sub_Crazy (123.21.193.55) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/12 - 6:16:2] [DEBUG] Sub_Crazy (123.21.193.55) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/12 - 10:8:21] [DEBUG] Kaidou_Smith (113.165.143.48) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/12 - 10:13:56] [DEBUG] Dominic_Toretto (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/12 - 11:5:31] [DEBUG] Dominic_Toretto (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/12 - 11:56:13] [DEBUG] FALLS_ETILE (115.78.88.25) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/12 - 13:14:55] [DEBUG] Kaidou_Smith (113.165.143.48) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/12 - 13:29:42] [DEBUG] Kaidou_Smith (113.165.143.48) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/12 - 13:29:57] [DEBUG] Dominic_Toretto (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/12 - 13:30:25] [DEBUG] FALLS_ETILE (115.78.88.25) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/12 - 14:3:48] [DEBUG] FALLS_ETILE (115.78.88.25) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/12 - 15:46:7] [DEBUG] Sub_Crazy (123.21.193.20) VIP removed (VIP Expire: 1360435858 | Level: 3)
[2013/2/12 - 16:46:19] [DEBUG] FALLS_ETILE (113.169.4.10) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/12 - 17:10:4] [DEBUG] Kaidou_Smith (113.165.143.48) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/12 - 18:4:40] [DEBUG] Dominic_Toretto (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/12 - 18:20:35] [DEBUG] Kaidou_Smith (113.165.143.48) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/12 - 18:35:51] [DEBUG] Kaidou_Smith (113.165.143.48) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/12 - 18:45:21] [DEBUG] Kaidou_Smith (113.165.143.48) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/12 - 19:53:35] [DEBUG] Kaidou_Smith (113.165.143.48) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/12 - 21:9:51] [DEBUG] Dominic_Toretto (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/12 - 21:29:12] [DEBUG] Kaidou_Smith (113.165.143.48) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/12 - 22:46:32] [DEBUG] FALLS_ETILE (123.23.105.249) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/12 - 22:53:59] [DEBUG] FALLS_ETILE (123.23.105.249) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/13 - 0:33:13] [DEBUG] FALLS_ETILE (123.23.105.249) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/13 - 1:5:17] [DEBUG] FALLS_ETILE (123.23.105.249) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/13 - 2:2:25] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/13 - 4:1:43] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/13 - 4:22:6] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/13 - 5:15:10] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/13 - 7:29:27] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/13 - 8:8:8] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/13 - 8:18:9] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/13 - 9:0:34] [DEBUG] Kaidou_Smith (113.165.204.17) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/13 - 10:17:11] [DEBUG] Kaidou_Smith (113.165.204.17) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/13 - 10:32:35] [DEBUG] Kaidou_Smith (113.165.204.17) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/13 - 11:3:25] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/13 - 12:5:26] [DEBUG] Dominic_Toretto (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/13 - 14:23:50] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/13 - 14:24:40] [DEBUG] Dominic_Toretto (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/13 - 14:26:23] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/13 - 14:26:39] [DEBUG] Kaidou_Smith (113.165.204.17) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/13 - 14:44:57] [DEBUG] Kaidou_Smith (113.165.204.17) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/13 - 14:53:8] [DEBUG] Kaidou_Smith (113.165.204.17) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/13 - 15:1:58] [DEBUG] Kaidou_Smith (113.165.204.17) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/13 - 15:19:39] [DEBUG] Kaidou_Smith (113.165.204.17) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/13 - 15:34:51] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/13 - 15:52:7] [DEBUG] Dominic_Toretto (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/13 - 16:34:32] [DEBUG] FALLS_ETILE (115.78.88.25) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/13 - 16:45:19] [DEBUG] Top_em (113.165.204.17) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/13 - 16:48:27] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/13 - 18:32:55] [DEBUG] Endou_Sid (113.165.204.17) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/13 - 18:56:49] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/13 - 19:23:44] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/13 - 19:45:44] [DEBUG] Endou_Sid (113.165.204.17) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/13 - 19:49:23] [DEBUG] Endou_Sid (113.165.204.17) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/13 - 20:10:48] [DEBUG] Endou_Sid (113.165.204.17) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/13 - 21:8:30] [DEBUG] Endou_Sid (113.165.204.17) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/13 - 22:40:58] [DEBUG] FALLS_ETILE (123.28.14.248) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/13 - 23:45:51] [DEBUG] FALLS_ETILE (123.28.14.248) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/13 - 23:50:27] [DEBUG] FALLS_ETILE (123.28.14.248) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/13 - 23:51:7] [DEBUG] FALLS_ETILE (123.28.14.248) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/13 - 23:52:7] [DEBUG] FALLS_ETILE (123.28.14.248) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/13 - 23:55:6] [DEBUG] Taylor_Squad (113.165.204.17) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/14 - 7:47:15] [DEBUG] Taylor_Squad (113.165.170.10) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/14 - 8:40:7] [DEBUG] Taylor_Squad (113.165.170.10) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/14 - 10:4:22] [DEBUG] Taylor_Squad (113.165.170.10) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/14 - 11:3:38] [DEBUG] Dominic_Toretto (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/14 - 11:16:2] [DEBUG] SunShine_Pham (113.165.170.10) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/14 - 12:2:21] [DEBUG] Duy_Smith (222.254.241.25) VIP removed (VIP Expire: 1360812774 | Level: 3)
[2013/2/14 - 12:8:23] [DEBUG] Duy_Smith (222.254.241.25) VIP removed (VIP Expire: 1360812774 | Level: 3)
[2013/2/14 - 12:42:7] [DEBUG] Dominic_Toretto (42.117.81.65) VIP removed (VIP Expire: 1360491605 | Level: 3)
[2013/2/14 - 13:6:18] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/14 - 13:8:36] [DEBUG] SunShine_Pham (113.165.170.10) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/14 - 13:11:31] [DEBUG] Duy_Smith (27.78.121.112) VIP removed (VIP Expire: 1360812774 | Level: 3)
[2013/2/14 - 13:21:42] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/14 - 13:43:20] [DEBUG] Tommy_Smith (113.165.170.10) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/14 - 13:52:48] [DEBUG] Duy_Smith (113.163.83.4) VIP removed (VIP Expire: 1360812774 | Level: 3)
[2013/2/14 - 13:56:42] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/14 - 13:57:8] [DEBUG] FALLS_ETILE (115.78.88.25) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/14 - 15:17:16] [DEBUG] Duy_Smith (222.254.240.236) VIP removed (VIP Expire: 1360812774 | Level: 3)
[2013/2/14 - 15:42:8] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/14 - 16:19:16] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/14 - 16:22:8] [DEBUG] Tommy_Smith (113.165.170.10) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/14 - 16:25:31] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/14 - 16:47:12] [DEBUG] Lie_Sid (113.165.170.10) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/14 - 16:57:13] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/14 - 17:13:1] [DEBUG] Duy_Smith (222.254.240.236) VIP removed (VIP Expire: 1360812774 | Level: 3)
[2013/2/14 - 17:16:29] [DEBUG] Lie_Sid (113.165.170.10) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/14 - 17:19:13] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/14 - 17:55:21] [DEBUG] FALLS_ETILE (123.23.91.121) VIP removed (VIP Expire: 1360606240 | Level: 3)
[2013/2/14 - 17:56:10] [DEBUG] Lie_Sid (113.165.170.10) VIP removed (VIP Expire: 1360430543 | Level: 3)
[2013/2/14 - 18:30:11] [DEBUG] HP_SOS (113.162.50.152) VIP removed (VIP Expire: 1360687315 | Level: 3)
[2013/2/14 - 18:59:20] [DEBUG] Lie_Sid (113.165.170.10) VIP removed (VIP Expire: 1360430543 | Level: 3)
